Is_Persistently_Absent,Is_Severely_Absent,Percentage_Unauthorised_Absence,sum_exclusion_days,sum_achievement_points,sum_behaviour_points,Pupil_Premium_Indicator,SEN_Status,Current_NC_Year,Gender,Is_CS_Incident
0,0,0.0265,0.0,0,10,1,0,11,0,0
0,0,0.016,0.0,267,0,0,0,10,1,0
0,0,0.0,0.0,0,0,0,0,13,0,0
0,0,0.0,0.0,0,6,1,0,9,0,0
1,0,0.0027,0.0,674,0,1,0,9,0,1
0,0,0.0355,0.0,0,1,1,0,9,0,0
0,0,0.0,0.0,188,0,0,0,9,1,0
1,0,0.0214,0.0,656,0,0,0,11,1,0
0,0,0.0057,0.0,0,3,0,0,13,0,0
0,0,0.0,0.0,0,0,0,0,8,0,0
0,0,0.0,0.0,0,14,0,0,12,0,0
0,0,0.0027,0.0,0,15,1,0,10,0,1
0,0,0.0107,0.0,461,12,1,0,9,0,1
0,0,0.0,0.0,246,2,0,0,8,0,0
0,0,0.0053,0.0,362,0,1,0,10,0,0
0,0,0.0027,0.0,707,10,1,0,9,0,1
0,0,0.0,0.0,0,0,1,0,11,0,0
0,0,0.0,0.0,504,0,0,0,9,0,0
0,0,0.0,0.0,0,1,0,0,9,0,0
0,0,0.0,0.0,92,0,1,1,11,1,0
0,0,0.0,0.0,0,6,0,0,9,0,0
0,0,0.0239,0.0,0,1,0,0,10,0,0
0,0,0.0213,0.0,0,0,0,0,9,0,0
0,0,0.0,0.0,45,0,0,0,13,0,0
0,0,0.0053,0.0,741,0,0,0,10,0,0
0,0,0.0,0.0,198,4,0,0,8,1,0
0,0,0.0,0.0,0,0,0,0,11,0,0
0,0,0.0267,0.0,351,117,0,0,8,0,0
0,0,0.0,0.0,0,8,0,0,10,0,0
0,0,0.0,0.0,565,589,1,0,10,1,1
0,0,0.0,0.0,143,0,0,0,11,0,0
1,0,0.0423,0.0,0,49,1,0,11,0,1
0,0,0.0,0.0,222,2,0,0,8,0,0
0,0,0.008,0.0,0,1,0,0,9,0,0
0,0,0.0,0.0,533,1,0,0,9,1,0
0,0,0.0,0.0,0,1,0,1,10,0,1
0,0,0.0239,0.0,300,19,1,0,8,1,0
0,0,0.0107,0.0,313,52,0,0,10,0,0
0,0,0.0053,0.0,0,1,1,0,9,0,0
0,0,0.0,0.0,0,2,0,0,11,0,0
0,0,0.0053,0.0,416,39,0,0,10,1,1
0,0,0.0106,0.0,0,7,0,0,9,0,0
0,0,0.0,0.0,207,56,0,0,9,1,0
0,0,0.0053,0.0,434,0,1,0,8,0,0
0,0,0.0026,0.0,0,1,1,0,11,0,0
0,0,0.0027,0.0,687,0,0,0,11,0,0
0,0,0.0,0.0,495,0,0,1,11,1,0
0,0,0.0,0.0,0,5,0,0,12,0,0
1,0,0.1283,0.0,155,121,0,0,11,0,0
0,0,0.0374,4.0,361,70,1,1,11,0,1
0,0,0.0214,2.0,520,66,1,1,9,1,1
1,0,0.0214,0.0,313,21,1,0,9,1,0
0,0,0.0,0.0,306,10,0,0,8,1,0
0,0,0.0,0.0,69,0,0,0,11,1,0
1,0,0.1613,0.0,392,379,1,0,10,1,1
0,0,0.0,2.5,0,24,0,0,10,0,1
1,0,0.0957,0.0,175,13,0,0,11,1,1
0,0,0.0428,0.0,426,13,1,0,9,1,1
0,0,0.0,0.0,233,0,0,0,8,1,0
0,0,0.0,0.0,479,0,1,0,8,0,0
0,0,0.0027,5.0,258,23,1,1,8,1,1
0,0,0.0,0.0,0,3,0,0,9,0,0
0,0,0.0423,0.0,0,71,1,0,11,0,1
0,0,0.0054,0.0,307,22,0,0,13,1,0
0,0,0.0175,0.0,298,15,1,0,9,0,1
0,0,0.0,0.0,559,1,1,1,9,0,1
0,0,0.0,0.0,147,9,0,0,11,1,0
1,0,0.0239,13.0,0,26,1,0,9,0,1
0,0,0.0053,0.0,0,1,1,0,8,0,0
0,0,0.0,0.0,0,0,0,0,12,0,0
0,0,0.0,0.0,0,4,1,0,12,0,0
0,0,0.0,0.0,254,3,0,0,8,0,0
1,0,0.0055,0.0,802,0,1,0,12,0,0
0,0,0.0053,6.0,450,25,0,0,9,1,0
0,0,0.0053,0.0,752,9,0,0,10,1,0
0,0,0.0058,0.0,681,0,0,0,12,0,0
0,0,0.0164,0.0,69,1,0,0,13,1,0
0,0,0.0214,0.0,650,1,0,0,11,1,0
0,0,0.0,0.0,377,1,0,0,12,1,0
0,0,0.0,0.0,755,1,0,0,12,1,0
1,0,0.4091,0.0,234,451,1,1,11,1,1
0,0,0.0266,0.0,188,133,0,0,8,1,1
1,0,0.0695,8.0,146,106,0,0,11,1,1
0,0,0.0,0.0,0,3,1,0,11,0,0
0,0,0.0053,0.0,312,19,1,0,8,0,0
0,0,0.0168,0.0,416,16,0,0,9,1,0
0,0,0.0,0.0,653,11,0,0,9,0,0
0,0,0.0187,4.0,122,299,0,2,11,0,1
0,0,0.0,0.0,0,4,1,0,9,0,0
0,0,0.0,0.0,395,76,0,0,11,1,0
0,0,0.0,0.0,452,9,0,0,10,0,1
0,0,0.0106,0.0,206,9,1,0,8,0,0
0,0,0.0164,0.0,46,11,0,0,13,1,0
0,0,0.0,0.0,439,29,1,1,9,1,1
0,0,0.0029,3.0,408,7,0,0,12,1,1
0,0,0.0,0.0,119,0,0,0,12,0,0
0,0,0.0,0.0,0,0,1,0,9,0,0
0,0,0.0,0.0,532,0,0,0,12,0,0
0,0,0.0,0.0,0,0,0,1,10,0,0
0,0,0.0426,0.0,210,15,0,1,8,0,0
1,0,0.3021,6.5,162,555,0,0,10,0,1
0,0,0.0172,0.0,330,155,0,0,9,1,0
0,0,0.0,2.0,0,13,0,0,10,0,0
0,0,0.0053,0.0,0,7,1,0,9,0,0
0,0,0.008,0.0,0,1,0,0,13,0,0
0,0,0.0,0.0,38,1,0,0,13,1,0
0,0,0.0214,0.0,281,20,0,0,10,1,0
0,0,0.0,0.0,584,1,0,0,10,0,0
1,0,0.0319,0.0,171,127,1,1,8,1,0
1,0,0.0133,1.0,0,23,0,0,10,0,0
1,0,0.0428,1.0,460,69,0,1,10,1,1
0,0,0.0,0.0,413,0,0,0,10,0,0
0,0,0.0505,0.0,0,6,1,1,9,0,1
0,0,0.0107,0.0,183,14,1,0,11,1,1
0,0,0.0,0.0,710,1,0,0,9,0,0
0,0,0.0,0.0,589,0,0,0,8,0,0
0,0,0.016,0.0,725,1,0,0,9,1,0
0,0,0.0,0.0,0,0,0,0,10,0,0
0,0,0.0053,0.0,0,6,1,0,11,0,0
0,0,0.0053,0.0,284,0,0,0,8,0,0
0,0,0.0,0.0,818,0,0,0,9,0,0
0,0,0.0,0.0,213,0,0,0,8,1,0
0,0,0.0,0.0,0,0,0,0,9,0,1
0,0,0.0,0.0,673,0,0,0,9,1,0
0,0,0.0,0.0,604,1,0,0,9,0,0
0,0,0.0,0.0,0,8,1,0,10,0,0
0,0,0.0053,0.0,221,1,0,0,8,1,0
1,0,0.0055,0.0,2,39,0,0,13,1,1
1,0,0.1011,0.0,0,10,0,0,10,0,0
0,0,0.0053,0.0,0,8,0,0,8,0,0
1,0,0.1551,0.0,529,42,0,0,10,0,0
0,0,0.0,0.0,0,11,0,0,9,0,0
0,0,0.0053,0.0,418,18,0,0,8,0,0
0,0,0.0,0.0,0,1,0,0,10,0,0
0,0,0.0,0.0,0,10,0,0,9,0,0
0,0,0.0053,0.0,390,0,1,0,9,0,0
0,0,0.0,0.0,0,4,0,0,10,0,0
1,0,0.0146,8.0,0,119,1,0,8,0,0
0,0,0.0027,0.0,477,0,0,0,9,0,0
1,0,0.123,0.0,398,14,1,1,11,0,1
0,0,0.0027,0.0,123,0,1,0,11,1,0
0,0,0.0,0.0,0,1,0,0,8,0,0
0,0,0.0106,0.0,0,1,0,0,10,0,0
1,1,0.4866,16.0,74,58,1,2,11,0,1
0,0,0.0401,0.0,354,22,1,0,10,0,1
0,0,0.0374,0.0,497,19,0,0,10,1,0
0,0,0.0107,10.0,503,155,0,1,10,1,1
0,0,0.0,0.0,0,0,0,0,9,0,0
0,0,0.0053,0.0,0,6,1,0,8,0,0
0,0,0.0638,0.0,0,0,0,0,9,0,0
1,0,0.1257,0.0,123,93,1,0,11,0,1
0,0,0.0374,0.0,393,14,0,0,11,0,0
1,0,0.0348,3.0,393,88,0,0,9,1,0
0,0,0.0107,0.0,316,65,1,1,9,1,1
0,0,0.0,0.0,541,0,0,0,10,1,0
0,0,0.0,0.0,467,0,0,0,8,0,0
0,0,0.0053,0.0,0,9,0,0,8,0,0
0,0,0.0027,0.0,390,0,1,0,8,0,0
0,0,0.0106,0.0,0,9,1,0,11,0,1
0,0,0.0,0.0,770,19,0,0,10,1,0
1,0,0.0642,4.5,518,57,1,0,11,1,1
