Is_Persistently_Absent,Is_Severely_Absent,Percentage_Unauthorised_Absence,sum_exclusion_days,sum_achievement_points,sum_behaviour_points,distinct_incident_count,Pupil_Premium_Indicator,SEN_Status,Current_NC_Year,Gender,Is_CS_Incident
0,0,0.0265,0.0,0,10,3,1,0,11,0,0
0,0,0.016,0.0,267,0,3,0,0,10,1,0
0,0,0.0,0.0,0,0,4,0,0,13,0,0
0,0,0.0,0.0,0,6,1,1,0,9,0,0
1,0,0.0027,0.0,674,0,7,1,0,9,0,1
0,0,0.0355,0.0,0,1,1,1,0,9,0,0
0,0,0.0,0.0,188,0,0,0,0,9,1,0
1,0,0.0214,0.0,656,0,4,0,0,11,1,0
0,0,0.0057,0.0,0,3,1,0,0,13,0,0
0,0,0.0,0.0,0,0,11,0,0,8,0,0
0,0,0.0,0.0,0,14,2,0,0,12,0,0
0,0,0.0027,0.0,0,15,15,1,0,10,0,1
0,0,0.0107,0.0,461,12,5,1,0,9,0,1
0,0,0.0,0.0,246,2,8,0,0,8,0,0
0,0,0.0053,0.0,362,0,5,1,0,10,0,0
0,0,0.0027,0.0,707,10,2,1,0,9,0,1
0,0,0.0,0.0,0,0,0,1,0,11,0,0
0,0,0.0,0.0,504,0,0,0,0,9,0,0
0,0,0.0,0.0,0,1,29,0,0,9,0,0
0,0,0.0,0.0,92,0,0,1,1,11,1,0
0,0,0.0,0.0,0,6,1,0,0,9,0,0
0,0,0.0239,0.0,0,1,2,0,0,10,0,0
0,0,0.0213,0.0,0,0,0,0,0,9,0,0
0,0,0.0,0.0,45,0,2,0,0,13,0,0
0,0,0.0053,0.0,741,0,1,0,0,10,0,0
0,0,0.0,0.0,198,4,0,0,0,8,1,0
0,0,0.0,0.0,0,0,2,0,0,11,0,0
0,0,0.0267,0.0,351,117,2,0,0,8,0,0
0,0,0.0,0.0,0,8,7,0,0,10,0,0
0,0,0.0,0.0,565,589,21,1,0,10,1,1
0,0,0.0,0.0,143,0,9,0,0,11,0,0
1,0,0.0423,0.0,0,49,9,1,0,11,0,1
0,0,0.0,0.0,222,2,1,0,0,8,0,0
0,0,0.008,0.0,0,1,4,0,0,9,0,0
0,0,0.0,0.0,533,1,0,0,0,9,1,0
0,0,0.0,0.0,0,1,14,0,1,10,0,1
0,0,0.0239,0.0,300,19,4,1,0,8,1,0
0,0,0.0107,0.0,313,52,0,0,0,10,0,0
0,0,0.0053,0.0,0,1,12,1,0,9,0,0
0,0,0.0,0.0,0,2,9,0,0,11,0,0
0,0,0.0053,0.0,416,39,1,0,0,10,1,1
0,0,0.0106,0.0,0,7,4,0,0,9,0,0
0,0,0.0,0.0,207,56,0,0,0,9,1,0
0,0,0.0053,0.0,434,0,18,1,0,8,0,0
0,0,0.0026,0.0,0,1,3,1,0,11,0,0
0,0,0.0027,0.0,687,0,0,0,0,11,0,0
0,0,0.0,0.0,495,0,10,0,1,11,1,0
0,0,0.0,0.0,0,5,2,0,0,12,0,0
1,0,0.1283,0.0,155,121,14,0,0,11,0,0
0,0,0.0374,4.0,361,70,31,1,1,11,0,1
0,0,0.0214,2.0,520,66,6,1,1,9,1,1
1,0,0.0214,0.0,313,21,2,1,0,9,1,0
0,0,0.0,0.0,306,10,6,0,0,8,1,0
0,0,0.0,0.0,69,0,5,0,0,11,1,0
1,0,0.1613,0.0,392,379,14,1,0,10,1,1
0,0,0.0,2.5,0,24,6,0,0,10,0,1
1,0,0.0957,0.0,175,13,5,0,0,11,1,1
0,0,0.0428,0.0,426,13,170,1,0,9,1,1
0,0,0.0,0.0,233,0,0,0,0,8,1,0
0,0,0.0,0.0,479,0,2,1,0,8,0,0
0,0,0.0027,5.0,258,23,10,1,1,8,1,1
0,0,0.0,0.0,0,3,0,0,0,9,0,0
0,0,0.0423,0.0,0,71,10,1,0,11,0,1
0,0,0.0054,0.0,307,22,1,0,0,13,1,0
0,0,0.0175,0.0,298,15,14,1,0,9,0,1
0,0,0.0,0.0,559,1,8,1,1,9,0,1
0,0,0.0,0.0,147,9,0,0,0,11,1,0
1,0,0.0239,13.0,0,26,58,1,0,9,0,1
0,0,0.0053,0.0,0,1,11,1,0,8,0,0
0,0,0.0,0.0,0,0,0,0,0,12,0,0
0,0,0.0,0.0,0,4,5,1,0,12,0,0
0,0,0.0,0.0,254,3,2,0,0,8,0,0
1,0,0.0055,0.0,802,0,6,1,0,12,0,0
0,0,0.0053,6.0,450,25,6,0,0,9,1,0
0,0,0.0053,0.0,752,9,5,0,0,10,1,0
0,0,0.0058,0.0,681,0,1,0,0,12,0,0
0,0,0.0164,0.0,69,1,4,0,0,13,1,0
0,0,0.0214,0.0,650,1,2,0,0,11,1,0
0,0,0.0,0.0,377,1,1,0,0,12,1,0
0,0,0.0,0.0,755,1,3,0,0,12,1,0
1,0,0.4091,0.0,234,451,17,1,1,11,1,1
0,0,0.0266,0.0,188,133,13,0,0,8,1,1
