Algorithm,Model,Accuracy,Precision,Recall,Specificity,F1 score
LogisticRegression,base,0.7854330708661418,0.7677613714656255,0.601610761651364,0.9736495388669302,0.6113263701707098
LogisticRegression,full,0.7923228346456693,0.7709304472238889,0.6203764937481736,0.9683794466403162,0.6366699376812405
LogisticRegression,csri,0.7992125984251969,0.7498023375057733,0.6635907373515223,0.9380764163372859,0.6848711898216848
RandomForest,base,0.7509842519685039,0.6548476257973068,0.612009966010981,0.8932806324110671,0.6223253654458447
RandomForest,full,0.781496062992126,0.7083918923139386,0.6710344862941716,0.8945981554677207,0.6841716142040999
RandomForest,csri,0.7923228346456693,0.7268881979531028,0.6795676268692679,0.9077733860342556,0.6954570573369113
DecisionTree,base,0.6751968503937008,0.5843752825994869,0.5908808948903688,0.761528326745718,0.5867658586366528
DecisionTree,full,0.7529527559055118,0.6749724310776942,0.6789524410062391,0.8287220026350461,0.6768705802153301
DecisionTree,csri,0.7332677165354331,0.6457969749854566,0.6439022264601693,0.8247694334650857,0.6448226086709743
GradientBoostedTree,base,0.7746062992125984,0.7038992117117118,0.6188128963463086,0.9341238471673254,0.6330770625852593
GradientBoostedTree,full,0.7942913385826772,0.7289074166251867,0.6886057325069337,0.9025032938076416,0.7031345459934264
GradientBoostedTree,csri,0.7874015748031497,0.7216394259872521,0.6595458903021075,0.9183135704874835,0.6769950840422714
ExplainableBoostingMachine,base,0.78248031496063,0.7302729279550472,0.6176491697554123,0.9512516469038208,0.6325437153775029
ExplainableBoostingMachine,full,0.7992125984251969,0.7357192264894289,0.7009068864930816,0.8998682476943346,0.7142526263545372
ExplainableBoostingMachine,csri,0.8080708661417323,0.7642224364962185,0.6798137012144795,0.9393939393939394,0.7026256658726477
PyGol,base,0.392,0.696,0.329,0.576,0.447
PyGol,full,0.398,0.696,0.344,0.556,0.46
PyGol,csri,0.677,0.807,0.747,0.471,0.776
